Name,Value,Definition,L0 Instructions,L1 Instructions
acknowledgement,"IOS Mooring Group; Roy Hourston, for metadata gathering and data processing; Emily Chisholm, for supplying the R script that performed the processing and netCDF file output.",An acknowledgement of teams or individuals who have helped with the data set,Optional,Optional
agency,"IOS, Ocean Sciences Division, Sidney, B.C.","The organization through which data collection and processing were conducted, reads 'DFO' then the organization acronym",Optional,Optional
anchor_type,2785 lbs w 2 m chain,The type of anchor used,Optional,Optional
anchor_drop_time,2016-07-13 20:59:00 UTC,The date and time (format YYYY-MM-DD hh:mm:ss UTC) at which the anchor was dropped,Optional (obtained from mooring logs),Optional (obtained from mooring logs)
anchor_release_time,2017-05-13 23:00:00 UTC,The date and time (format YYYY-MM-DD hh:mm:ss UTC) at which the anchor was released,Optional (obtained from mooring logs),Optional (obtained from mooring logs)
comment,Archived raw .000 files were used to make this data set.,"A comment on the data set, processing or otherwise",Optional,Optional
country,Canada,The country of the agency,Optional,Optional
country_institute_code,1823,The code number for the institute found at https://www.nodc.noaa.gov/General/NODC-Archive/institutionlist.txt,Optional,Optional
cruise_description,"The deployment cruise was taken on the John P. Tully. Mooring A1-56 was hit and moved at around 1500 April 29, 2017 into 450 m depth, and was transmitting via Iridium from 48 degrees 32.111 minutes N 126 degrees 11.633 minutes W. The mooring was recovered by Environment Canada on the CCGS Laurier. ",A description of the recovery and deployment missions,Optional,Optional
cut_lead_ensembles,7,The number of leading ensembles to cut from the dataset,Optional (use value = 0),Required
cut_trail_ensembles,2106,The number of trailing ensembles to cut from the dataset,Optional (use value = 0),Required
deployment_cruise_number,2016-12,The number of the deployment cruise,Optional,Optional
geographic_area,"Offshore Barkley Sound, WVI",Geographic area of the station,Optional,Optional
history,"The metadata were extracted from the corresponding processed .adcp file provided by Roy Hourston. The data were extracted from the raw ADCP binary file using an R routine provided by Emily Chisholm. Instrument depth was derived from reconciling all trustworthy pressure sensors on the mooring (i.e., Sea-Bird) and the mooring line length.",The history of the processing and data set,Optional,Optional
instrument_depth,480,Depth of the instrument in meters,Required,Required
latitude,48.5385,Latitude of mooring in decimal degrees,Required,Required
longitude,-126.1952,Longitude of mooring in decimal degrees,Required,Required
platform,John P. Tully,The platform/ship name,Optional,Optional
project,La Perouse,The project under which data were collected,Optional,Optional
publisher_email,DFO.PAC.SCI.IOSData-DonneesISO.SCI.PAC.MPO@dfo-mpo.gc.ca,The email of the data shop which published and processed this data set,Optional,Optional
return_cruise_number,2017-23,The number of the return cruise,Optional,Optional
scientist,Thomson R.,The chief scientist of the project (last name first initial),Optional,Optional
sea_code,57A,The NODC code corresponding to the sea the station is in from NOAA at https://www.nodc.noaa.gov/General/NODC-Archive/seanamelist.txt,Optional,Optional
sea_name,Northeast Pacific Ocean,From the list of sea names provided by NOAA at https://www.nodc.noaa.gov/General/NODC-Archive/seanamelist.txt,Optional,Optional
station,A1,The station name for the mooring,Optional,Optional
deployment_number,56,The deployment number (used to follow a lettering scheme),Optional,Optional
water_depth,500,Water depth in meters,Required,Required
serialNumber,20568,The serial number of the instrument,Required,Required
instrumentSubtype,Workhorse,The instrument subtype,Required,Required
magnetic_variation,16.67,The average magnetic variation of the timeseries,Optional,Required
